replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps
6,9,6,0.0,21.12,6,8,0.02,0.686,0.5566108444444444,0.5566108444444444,125.37,21.13,0,36
4,8,8,21.12,36.9,156,164,0.521,0.668,0.89725,1.4538608444444443,31.88,36.9,0,36
3,7,6,36.9,18.11,110,116,0.353,0.677,0.9008571428571429,2.354717987301587,33.52,18.11,0,18
4,9,4,18.11,17.17,84,89,0.425,0.625,0.8667778444444445,3.2214958317460316,35.31,17.17,0,18
3,8,7,17.17,36.0,111,118,0.348,0.636,0.8687142857142858,4.090210117460318,46.63,36.0,0,36
4,7,8,36.0,27.12,74,81,0.529,0.677,0.9203928571428571,5.010602974603175,51.33,27.13,0,27
6,8,5,27.12,27.39,76,81,0.386,0.594,0.8965,5.907102974603174,26.39,27.39,0,27
4,6,4,27.39,21.94,35,41,0.448,0.618,0.8368891333333333,6.743992107936507,105.94,21.94,0,27
6,9,5,21.94,27.36,76,80,0.397,0.587,0.8882222222222222,7.63221433015873,23.88,27.36,0,27
4,7,5,27.36,26.73,68,75,0.493,0.652,0.9348571428571428,8.567071473015872,48.7,26.73,0,27
6,7,8,26.73,17.7,30,34,0.368,0.654,0.8589762571428572,9.426047730158729,47.9,17.71,0,18
6,9,5,17.7,27.7,81,86,0.403,0.598,0.8895555555555555,10.315603285714284,24.97,27.71,0,27
4,7,6,27.7,26.2,92,102,0.487,0.615,0.9215874571428572,11.237190742857141,42.88,26.21,0,27
2,9,5,26.2,45.9,417,444,0.743,0.637,0.965111111111111,12.202301853968253,42.64,45.91,0,45
4,6,8,45.9,27.95,36,41,0.477,0.63,0.7825002,12.984802053968252,132.08,27.96,0,36
6,9,5,27.95,37.25,110,113,0.422,0.616,0.8937777777777778,13.87857983174603,24.61,37.25,0,36
2,7,6,37.25,25.73,151,174,0.576,0.654,0.9363492285714285,14.814929060317459,86.15,25.73,0,27
6,9,5,25.73,27.45,83,87,0.398,0.64,0.8884444444444444,15.703373504761903,30.45,27.46,0,27
4,9,4,27.45,36.53,161,172,0.543,0.643,0.9206666666666667,16.624040171428568,27.88,36.54,0,36
6,8,7,36.53,36.5,94,100,0.453,0.642,0.8966785714285714,17.520718742857138,27.6,36.51,0,36
2,9,5,36.5,27.28,258,273,0.565,0.651,0.9255555555555556,18.446274298412693,21.44,27.28,0,27
5,5,8,27.28,12.71,33,37,0.441,0.729,0.5704836,19.016757898412692,359.2,12.71,0,36
5,9,5,12.71,27.23,47,52,0.523,0.564,0.9162222222222223,19.932980120634916,30.14,27.24,0,27
3,7,8,27.23,18.34,97,108,0.416,0.719,0.8986071428571428,20.831587263492057,34.35,18.34,0,18
6,9,5,18.34,16.94,54,59,0.341,0.587,0.8404443777777778,21.672031641269836,39.24,16.94,0,18
4,9,5,16.94,36.12,112,115,0.304,0.636,0.8675555555555555,22.53958719682539,19.0,36.13,0,36
6,7,7,36.12,26.28,55,60,0.364,0.632,0.8685712285714287,23.40815842539682,47.77,26.28,0,27
4,9,5,26.28,27.14,122,130,0.455,0.633,0.9011111111111111,24.30926953650793,26.92,27.14,0,27
6,7,8,27.14,27.19,34,38,0.393,0.635,0.8710357142857144,25.180305250793644,41.31,27.18,0,27
2,9,5,27.19,36.66,329,340,0.706,0.665,0.9568888888888889,26.137194139682535,36.86,36.67,0,36
3,7,6,36.66,27.58,144,152,0.413,0.656,0.9179999999999999,27.055194139682534,37.93,27.58,0,27
6,9,5,27.58,18.33,54,60,0.356,0.576,0.8791111111111112,27.934305250793646,25.58,18.33,0,18
4,9,5,18.33,36.28,119,123,0.298,0.613,0.8662222222222222,28.80052747301587,19.35,36.27,0,36
6,7,8,36.28,35.97,71,77,0.419,0.679,0.8889644857142858,29.689491958730155,46.9,35.97,0,36
2,9,5,35.97,27.39,234,262,0.602,0.65,0.9337777777777778,30.623269736507932,27.88,27.39,0,27
5,7,6,27.39,27.53,52,57,0.432,0.634,0.9234285714285715,31.546698307936502,37.33,27.53,0,27
2,8,5,27.53,27.38,233,255,0.599,0.657,0.94975,32.496448307936504,31.62,27.38,0,27
6,8,4,27.38,17.86,44,49,0.33,0.587,0.8778332,33.3742815079365,34.57,17.86,0,18
2,4,9,17.86,7.81,81,98,0.364,0.655,0.5011109555555555,33.875392463492055,482.33,7.81,0,27
5,9,5,7.81,37.28,139,147,0.449,0.653,0.8997777777777778,34.775170241269834,25.56,37.27,0,36
1,9,7,37.28,26.4,195,229,0.836,0.641,0.955587434920635,35.73075767619047,84.54,26.4,0,27
4,9,5,26.4,27.38,129,136,0.457,0.639,0.9015555555555556,36.632313231746025,30.34,27.38,0,27
6,8,9,27.38,26.98,75,82,0.431,0.672,0.8566387333333333,37.48895196507936,34.28,26.98,0,27
4,9,5,26.98,27.0,128,135,0.464,0.648,0.9031111111111111,38.39206307619047,30.14,27.0,0,27
6,7,5,27.0,23.77,56,61,0.434,0.608,0.852222,39.244285076190465,63.33,23.77,0,27
6,9,5,23.77,18.03,52,56,0.344,0.592,0.8764444444444444,40.12072952063491,28.04,18.03,0,18
4,9,5,18.03,45.0,126,129,0.282,0.638,0.8626666666666667,40.98339618730158,20.51,45.0,0,45
6,7,8,45.0,36.88,79,86,0.468,0.66,0.8987142857142858,41.882110473015864,35.22,36.86,0,36
2,9,5,36.88,36.22,259,283,0.637,0.68,0.9415555555555556,42.82366602857142,50.06,36.21,0,36
2,9,4,36.22,27.52,277,286,0.629,0.708,0.9397777777777778,43.763443806349194,32.45,27.51,0,27
5,9,5,27.52,36.56,140,145,0.437,0.639,0.8971111111111111,44.6605549174603,28.19,36.57,0,36
3,9,8,36.56,27.52,109,114,0.57,0.646,0.8881666666666667,45.548721584126966,25.16,27.52,0,27
4,9,5,27.52,27.16,135,140,0.416,0.635,0.8924444444444444,46.44116602857141,26.02,27.15,0,27
6,5,5,27.16,19.69,39,44,0.352,0.645,0.6689664,47.11013242857141,222.93,19.69,0,36
4,9,5,19.69,36.6,99,108,0.626,0.603,0.9391111111111111,48.04924353968252,24.42,36.59,0,36
6,7,8,36.6,36.22,64,68,0.433,0.68,0.8937142857142857,48.94295782539681,39.99,36.22,0,36
