replica,cpu,heap,previous_tps,instant_tps,inc_tps,out_tps,cpu_usage,memory_usage,reward,sum_reward,response_time,num_request,num_failures,expected_tps
4,8,5,0.0,34.88,11,14,0.02,0.769,0.7861665999999999,0.7861665999999999,17.51,34.87,0,36
4,7,6,34.88,29.9,78,85,0.45,0.666,0.8269050285714286,1.6130716285714284,106.94,29.9,0,36
5,9,5,29.9,18.66,57,62,0.39,0.616,0.8866666666666667,2.499738295238095,27.55,18.66,0,18
5,9,5,18.66,18.0,97,102,0.39,0.641,0.8866666666666667,3.386404961904762,21.3,18.0,0,18
2,8,4,18.0,34.25,104,118,0.688,0.584,0.9426666,4.329071561904762,93.12,34.24,0,36
6,8,6,34.25,25.75,61,68,0.429,0.617,0.8794724,5.208543961904762,44.81,25.75,0,27
6,9,9,25.75,27.34,77,83,0.436,0.682,0.8484444444444444,6.056988406349206,25.72,27.35,0,27
2,8,6,27.34,27.45,211,225,0.631,0.643,0.95775,7.014738406349206,37.9,27.46,0,27
2,9,6,27.45,26.61,294,306,0.573,0.668,0.9186669333333334,7.9334053396825395,29.66,26.61,0,27
3,8,5,26.61,27.56,162,170,0.438,0.62,0.9095,8.84290533968254,30.95,27.57,0,27
2,8,6,27.56,18.4,137,147,0.546,0.667,0.9365,9.77940533968254,33.72,18.41,0,18
5,9,5,18.4,27.4,104,108,0.425,0.637,0.8944444444444444,10.673849784126984,28.16,27.4,0,27
6,8,8,27.4,26.95,44,49,0.433,0.631,0.8648888,11.538738584126984,44.3,26.95,0,27
2,9,5,26.95,44.78,317,344,0.693,0.676,0.9509334,12.489671984126984,72.26,44.77,0,45
6,9,5,44.78,26.06,86,92,0.518,0.633,0.7496113111111111,13.239283295238096,97.38,26.07,0,36
5,9,5,26.06,36.12,163,167,0.473,0.678,0.9051111111111111,14.144394406349207,17.42,36.13,0,36
6,8,9,36.12,27.88,61,66,0.366,0.677,0.8419444444444444,14.98633885079365,34.11,27.88,0,27
5,9,5,27.88,27.73,93,100,0.428,0.635,0.8951111111111111,15.881449961904762,25.9,27.74,0,27
4,9,6,27.73,36.94,146,155,0.518,0.652,0.9151111111111111,16.796561073015873,32.46,36.94,0,36
6,8,6,36.94,36.6,56,63,0.472,0.624,0.9179999999999999,17.714561073015872,44.77,36.6,0,36
2,8,5,36.6,27.47,202,215,0.634,0.63,0.9585,18.673061073015873,41.49,27.47,0,27
6,9,5,27.47,35.22,99,103,0.471,0.637,0.8916664666666667,19.56472753968254,35.91,35.22,0,36
6,8,5,35.22,26.47,50,53,0.409,0.616,0.8904719999999999,20.45519953968254,44.64,26.47,0,27
6,9,5,26.47,17.69,41,46,0.42,0.594,0.8830001333333334,21.338199673015872,37.71,17.69,0,18
5,9,5,17.69,18.47,83,85,0.395,0.634,0.8877777777777778,22.22597745079365,22.25,18.47,0,18
6,8,6,18.47,36.12,83,89,0.429,0.64,0.90725,23.13322745079365,51.16,36.12,0,36
3,9,4,36.12,27.81,219,225,0.422,0.655,0.8937777777777778,24.02700522857143,28.02,27.82,0,27
4,9,5,27.81,27.27,122,129,0.474,0.649,0.9053333333333333,24.932338561904764,27.83,27.26,0,27
1,4,6,27.27,2.13,30,38,0.395,0.606,0.44483340000000005,25.377171961904764,1473.32,2.13,0,27
5,8,5,2.13,36.25,37,42,0.582,0.579,0.9455,26.322671961904764,51.6,36.24,0,36
3,9,7,36.25,27.9,208,218,0.433,0.723,0.8962222222222223,27.218894184126984,30.24,27.9,0,27
6,9,5,27.9,17.98,45,50,0.425,0.595,0.8937778444444444,28.112672028571428,34.38,17.98,0,18
5,9,5,17.98,36.34,107,112,0.397,0.627,0.8882222222222222,29.00089425079365,21.14,36.33,0,36
4,7,6,36.34,33.88,99,110,0.504,0.628,0.9084998000000001,29.90939405079365,67.27,33.87,0,36
3,8,4,33.88,27.34,172,182,0.449,0.653,0.91225,30.82164405079365,34.51,27.35,0,27
5,9,5,27.34,27.4,96,103,0.46,0.622,0.9022222222222223,31.723866273015872,27.28,27.41,0,27
6,8,6,27.4,27.42,39,44,0.452,0.604,0.913,32.63686627301587,40.3,27.42,0,27
2,9,5,27.42,18.31,171,181,0.527,0.648,0.9171111111111111,33.55397738412698,21.75,18.32,0,18
5,9,4,18.31,27.28,99,104,0.439,0.635,0.8975555555555554,34.45153293968254,24.72,27.28,0,27
3,8,5,27.28,36.4,245,257,0.501,0.673,0.92525,35.376782939682535,38.0,36.42,0,36
5,8,6,36.4,27.7,82,88,0.443,0.665,0.91075,36.287532939682535,38.3,27.71,0,27
4,8,5,27.7,27.48,100,109,0.516,0.605,0.929,37.21653293968254,35.39,27.49,0,27
5,8,5,27.48,22.94,110,114,0.308,0.627,0.786778,38.003310939682535,54.93,22.94,0,27
5,9,5,22.94,27.62,105,113,0.388,0.619,0.8862222222222222,38.88953316190476,23.64,27.63,0,27
6,7,5,27.62,26.69,20,24,0.459,0.6,0.9242542571428571,39.813787419047614,56.05,26.69,0,27
4,9,7,26.69,18.16,84,91,0.426,0.649,0.880095238095238,40.69388265714285,24.33,18.16,0,18
6,9,5,18.16,45.75,109,115,0.535,0.658,0.9188888888888889,41.61277154603174,26.02,45.75,0,45
3,9,5,45.75,36.34,235,242,0.419,0.701,0.8931111111111111,42.50588265714285,19.4,36.33,0,36
